,tenure,MonthlyCharges,total_charges,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,senior_yes_Yes,multiple_lines_Yes,online_security_Yes,online_backup_Yes,device_protection_Yes,tech_support_Yes,streaming_tv_Yes,streaming_movies_Yes,payment_method_Credit card,payment_method_Electronic check,payment_method_Mailed check
42,17,20.75,418.25,False,True,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
43,63,79.85,4861.45,False,False,False,True,False,False,False,True,True,True,False,False,False,True,True,True,True,True,True,False,True,False,False
44,13,76.2,981.45,False,True,False,True,False,False,False,False,True,False,True,False,False,True,True,True,False,True,True,False,False,True,False
45,49,84.5,3906.7,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,True,False
46,2,49.25,97.0,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
47,2,80.65,144.15,False,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False
48,52,79.75,4217.8,True,False,False,True,False,False,False,True,True,True,False,False,False,True,True,False,False,True,True,True,True,False,False
49,69,64.15,4254.1,False,True,True,True,False,False,False,True,True,True,False,False,False,True,True,False,True,True,False,False,True,False,False
50,43,90.25,3838.75,False,False,False,True,True,False,False,False,True,False,True,False,True,True,False,True,False,False,True,False,False,True,False
51,15,99.1,1426.4,False,False,False,True,True,False,False,False,True,True,False,False,False,False,True,True,False,False,True,True,True,False,False
52,25,69.5,1752.65,False,True,False,True,False,False,False,False,True,True,False,False,True,True,True,False,False,True,True,False,True,False,False
53,8,80.65,633.3,False,True,False,True,True,False,False,False,True,True,False,False,True,True,False,True,False,False,False,False,True,False,False
54,60,74.85,4456.35,False,True,True,True,False,False,True,False,True,True,False,False,True,False,True,True,True,True,False,True,True,False,False
55,18,95.45,1752.55,True,False,False,True,True,False,False,False,True,False,True,False,True,True,False,False,False,False,True,True,False,True,False
56,63,99.65,6311.2,False,True,True,True,True,False,True,False,True,True,False,False,False,True,True,False,False,False,True,True,True,False,False
57,66,108.45,7076.35,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,True,True,True,True,False,True,False
58,34,24.95,894.3,False,True,True,True,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
59,72,107.5,7853.7,False,False,False,True,True,False,False,True,True,True,False,False,False,True,False,False,True,True,True,True,True,False,False
60,47,100.5,4707.1,False,True,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,True,True,False,True,False
61,60,89.9,5450.7,True,False,False,True,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False
62,72,42.1,2962.0,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False
63,18,54.4,957.1,False,True,True,True,False,False,True,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False
64,9,94.4,857.25,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,True,False
65,3,75.3,244.1,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,True,True,True,False,True,False
66,47,78.9,3650.35,True,True,False,True,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True,False
67,31,79.2,2497.2,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,True,True,True,False,False,True
68,50,20.15,930.9,False,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
69,10,79.85,887.35,True,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True
70,1,49.05,49.05,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
71,52,20.4,1090.65,False,True,True,True,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
72,64,111.6,7099.0,True,True,True,True,True,False,False,True,True,False,False,False,True,True,True,False,True,True,True,True,False,False,False
73,62,24.25,1424.6,True,True,True,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
74,3,64.5,177.4,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False
75,56,110.5,6139.5,False,False,False,True,True,False,True,False,False,False,True,False,True,True,True,True,True,False,True,True,False,True,False
76,46,55.65,2688.85,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False
77,8,54.65,482.25,False,True,True,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True
78,30,74.75,2111.3,True,False,False,True,False,False,False,False,True,False,True,False,True,False,True,True,False,False,True,True,False,True,False
79,45,25.9,1216.6,False,True,True,True,False,True,True,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False
80,1,79.35,79.35,False,False,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False
81,11,50.55,565.35,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,True,False
82,7,75.15,496.9,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
83,42,103.8,4327.5,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,False,False,False
84,49,20.15,973.35,False,True,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
85,9,99.3,918.75,True,False,False,True,True,False,False,False,True,True,False,False,False,True,False,True,False,False,True,True,True,False,False
86,35,62.15,2215.45,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
87,48,20.65,1057.0,False,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
88,46,19.95,927.1,False,True,True,True,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
89,29,33.75,1009.25,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
90,30,82.05,2570.2,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
91,1,74.7,74.7,True,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False
92,66,84.0,5714.25,True,True,True,True,False,False,False,True,True,False,False,True,False,True,True,False,True,True,True,True,False,False,True
93,65,111.05,7107.0,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,True,True,False,True,True,True,False,False
94,72,100.9,7459.05,True,False,False,True,True,False,False,True,True,False,False,False,False,True,False,True,True,False,True,True,False,False,False
95,12,78.95,927.35,False,False,False,True,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,True,False
96,71,66.85,4748.7,True,True,True,True,False,False,True,False,True,True,False,False,False,True,True,True,False,True,False,False,True,False,False
97,5,21.05,113.85,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
98,52,21.0,1107.2,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
99,25,98.5,2514.5,False,True,False,True,True,False,False,False,True,False,True,False,True,False,False,True,True,False,True,True,False,True,False
100,1,20.2,20.2,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
101,1,19.45,19.45,False,True,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
102,38,95.0,3605.6,True,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,True,True,True,False,False,False,False
103,66,45.55,3027.25,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False
104,68,110.0,7611.85,True,True,False,True,True,False,False,True,True,False,False,False,False,True,False,True,True,True,True,True,False,False,False
105,5,24.3,100.2,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
106,72,104.15,7303.05,False,True,True,True,True,False,True,False,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False
107,32,30.15,927.65,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True
108,43,94.35,3921.3,True,False,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,True
109,72,19.4,1363.25,True,True,True,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
110,55,96.75,5238.9,True,True,False,True,True,False,False,False,True,False,True,False,False,True,True,True,False,False,True,False,False,True,False
111,52,57.95,3042.25,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,True,False,False,True,False,False
112,43,91.65,3954.1,False,False,False,True,True,False,False,False,True,False,True,False,False,False,False,True,True,False,True,False,False,True,False
113,37,76.5,2868.15,False,True,False,True,True,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,True,False
114,64,54.6,3423.5,False,True,True,False,False,False,False,True,True,False,True,False,False,False,False,True,False,True,True,True,False,True,False
115,3,89.85,248.4,True,True,True,True,True,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,True,False
116,36,31.05,1126.35,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
117,10,100.25,1064.65,False,True,True,True,True,False,False,False,True,False,True,False,False,True,True,False,False,False,True,True,False,True,False
118,41,20.65,835.15,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
119,27,85.2,2151.6,True,True,True,True,True,False,False,False,True,True,False,False,False,True,False,True,False,True,False,False,True,False,False
120,56,99.8,5515.45,False,True,True,True,True,False,True,False,True,True,False,False,False,True,False,False,True,False,True,True,True,False,False
121,6,20.7,112.75,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
122,3,74.4,229.55,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False
123,7,50.7,350.35,False,True,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True
124,4,20.85,62.9,False,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
125,33,88.95,3027.65,True,False,False,True,True,False,False,True,True,False,True,False,False,False,True,False,False,True,True,False,False,True,False
126,27,78.05,2135.5,False,False,False,True,True,False,False,False,True,False,True,False,True,True,False,False,True,False,False,False,False,True,False
127,72,23.55,1723.95,True,True,False,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
128,1,19.75,19.75,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
129,71,56.45,3985.35,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,True,False,True,False
130,13,85.95,1215.65,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,True,False
131,25,58.6,1502.65,False,True,True,False,False,False,False,False,True,True,False,False,False,False,True,True,True,False,True,True,True,False,False
132,67,50.55,3260.1,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
133,1,35.45,35.45,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False
134,2,44.35,81.25,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
135,43,25.7,1188.2,False,False,False,True,False,True,False,True,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False
136,23,75.0,1778.5,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
137,64,20.2,1277.75,False,True,True,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
138,57,19.6,1170.55,True,False,True,True,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
139,1,70.45,70.45,False,True,False,True,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True
140,72,88.05,6425.65,False,True,True,True,False,False,False,True,True,True,False,False,True,True,True,True,True,True,True,True,True,False,False
141,8,71.15,563.65,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,True,False,True,False
142,61,101.05,5971.25,False,True,False,True,True,False,False,True,True,False,False,False,False,True,False,True,False,False,True,True,False,False,False
143,64,84.3,5289.05,True,False,False,True,True,False,True,False,True,True,False,False,False,True,True,True,False,False,False,False,True,False,False
144,71,23.95,1756.2,True,True,False,True,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
145,65,99.05,6416.7,False,True,True,True,True,False,False,True,True,True,False,False,False,True,True,True,False,True,True,False,True,False,False
146,3,19.6,61.35,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
147,1,45.65,45.65,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
148,30,64.5,1929.95,True,False,True,True,False,False,True,False,False,True,False,False,False,False,False,True,True,False,True,False,True,False,False
149,15,69.5,1071.4,True,True,True,True,False,False,False,False,True,False,False,True,False,False,False,True,True,True,False,True,False,False,True
150,8,68.55,564.35,False,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,True,False,True,False
151,7,95.0,655.5,True,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,True
152,70,108.15,7930.55,False,True,True,True,True,False,True,False,True,True,False,False,False,True,True,True,True,False,True,True,True,False,False
153,62,86.1,5215.25,True,True,True,True,False,False,False,True,False,False,True,False,False,False,True,True,True,True,True,True,False,True,False
154,6,19.7,113.5,False,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
155,14,80.9,1152.8,False,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
156,22,84.15,1821.95,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
157,22,20.15,419.9,True,True,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
158,16,64.25,1024.0,True,True,True,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True
159,10,25.7,251.6,True,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
160,13,56.0,764.55,False,False,True,True,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,True,False
161,20,82.4,1592.35,False,True,False,True,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False
162,2,69.7,135.2,False,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
163,53,73.9,3958.25,True,False,False,True,False,False,False,True,True,False,False,False,False,True,False,True,True,True,False,True,False,False,False
164,11,20.6,233.9,False,True,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
165,69,19.9,1363.45,True,True,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
166,4,70.9,273.0,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
167,72,89.05,6254.45,True,True,False,True,False,False,False,True,True,False,False,False,False,True,True,True,True,True,True,True,False,False,False
168,58,45.3,2651.2,True,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,True,False,False,True,False,True,False
169,16,20.4,321.4,False,True,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
170,43,84.25,3539.25,True,True,False,True,True,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,False
171,2,104.4,242.8,False,True,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,True,True,True,False,True,False
172,14,81.95,1181.75,True,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,True,True,True,False,False,True
173,53,94.85,5000.2,False,True,False,True,True,False,True,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False
174,32,20.55,654.55,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
175,34,24.7,780.2,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
176,15,74.45,1145.7,False,False,False,True,True,False,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,True
177,7,76.45,503.6,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
178,15,105.35,1559.25,False,True,True,True,True,False,False,False,True,False,False,False,False,True,False,True,True,False,True,True,False,False,False
179,61,20.55,1252.0,True,True,False,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
180,1,29.95,29.95,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
181,1,45.3,45.3,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
182,8,84.5,662.65,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
183,33,74.75,2453.3,True,True,True,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,True,True,True,False,False
184,13,79.25,1111.65,False,False,False,True,True,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,True,False
185,1,24.8,24.8,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
186,20,51.8,1023.85,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True
187,3,30.4,82.15,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
188,13,19.65,244.8,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
189,40,56.6,2379.1,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False
190,43,71.9,3173.35,True,True,True,True,False,False,True,False,True,True,False,False,False,True,True,False,False,True,False,True,True,False,False
191,6,91.0,531.0,True,True,False,True,True,False,False,False,True,False,True,False,False,False,False,True,True,False,False,True,False,True,False
192,69,19.75,1375.4,False,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
193,72,109.7,8129.3,False,True,True,True,True,False,False,True,False,True,False,False,False,True,True,True,True,False,True,True,True,False,False
194,59,19.3,1192.7,True,True,True,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
195,20,96.55,1901.65,False,True,False,True,True,False,False,False,True,False,True,False,False,False,True,True,False,True,True,False,False,True,False
196,24,24.1,587.4,True,True,True,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
197,59,111.35,6519.75,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False,True,True,True,True,True,False,True,False
198,72,112.25,8041.65,True,True,True,True,True,False,False,True,True,False,False,False,False,True,False,True,True,True,True,True,False,False,False
199,1,20.75,20.75,True,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
200,27,101.9,2681.15,False,True,False,True,True,False,True,False,True,True,False,False,False,False,True,False,False,True,True,True,True,False,False
201,14,80.05,1112.3,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,True,False,False
202,71,105.55,7405.5,True,True,True,True,True,False,False,True,False,False,True,False,False,True,True,False,True,False,True,True,False,True,False
203,13,78.3,1033.95,True,False,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False
204,44,68.85,2958.95,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
205,33,79.95,2684.85,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False
206,72,55.45,4179.2,True,True,True,False,False,False,False,True,True,True,False,False,False,False,True,True,True,True,False,True,True,False,False
207,1,79.9,79.9,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
208,19,106.6,1934.45,False,False,False,True,True,False,False,False,True,False,True,False,False,False,True,False,True,True,True,True,False,True,False
209,64,102.45,6654.1,True,True,False,True,True,False,True,False,True,True,False,False,False,False,False,True,True,True,True,True,True,False,False
210,2,46.0,84.5,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
211,1,25.25,25.25,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
212,61,19.75,1124.2,True,False,True,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
213,29,20.0,540.05,False,True,True,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
214,23,86.8,1975.85,True,True,False,True,True,False,False,False,False,False,True,False,True,True,False,False,False,False,False,True,False,True,False
215,57,58.75,3437.45,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,True,True,False,False,False
216,72,45.25,3139.8,True,True,True,False,False,False,False,True,False,True,False,False,False,False,True,True,True,True,False,False,True,False,False
217,66,56.6,3789.2,True,True,False,False,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True,False,False,False,False
218,65,84.2,5324.5,True,True,True,True,False,False,False,True,True,False,False,False,False,True,False,True,True,True,True,True,False,False,False
219,8,80.0,624.6,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
220,4,70.15,268.35,False,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
221,71,24.75,1836.9,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
222,1,20.2,20.2,True,True,True,True,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
223,4,50.05,179.35,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
224,12,19.35,219.35,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
225,24,50.6,1288.75,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False,True
226,31,81.15,2545.75,False,True,True,True,False,False,True,False,True,False,False,True,False,False,True,False,True,True,True,True,False,False,True
227,1,55.2,55.2,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
228,30,89.9,2723.15,True,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,True,False,False
229,47,85.3,4107.25,False,True,True,True,False,False,False,True,True,True,False,False,False,True,True,True,False,True,True,True,True,False,False
